 Europe;Esbjerg;	55.4666666666666; 	8.433333333; 
 Europe;Fredericia;	55.55; 	9.75; 
 Europe;Frederikshavn;	57.4666666666666; 	10.55; 
 Europe;Grenaa;	56.4166666666666; 	10.93333333; 
 Europe;Odense;	55.4166666666666; 	10.38333333; 
 '10'  is not a country in the system;Ronne;	55.0833333333333; 	14.68333333; 
 Africa;Djibouti;	11.6; 	43.13333333; 
 South America;Portsmouth;	15.5666666666666; 	-61.46666667; 
 North America;Barahona;	18.2; 	-71.06666667; 
 North America;La Romana;	18.45; 	-69.01666667; 
 North America;Puerto Plata;	19.8166666666666; 	-70.7; 
 North America;Rio Haina;	18.4166666666666; 	-70; 
 North America;San Pedro de Macoris;	18.4333333333333; 	-69.3; 
 '292. Sokak (69. Sk.)'  is not a country in the system;Santo Domingo;	18.469,	-69.883; ; 
 South America;Esmeraldas;	1; 	-79.63333333; 
 South America;Guayaquil;	-2.26666666666666; 	-79.9; 
 South America;La Libertad;	-2.2; 	-80.91666667; 
 South America;Manta;	-0.916666666666666; 	-80.71666667; 
 South America;Puerto Bolivar;	-3.25; 	-80.01666667; 
 South America;San Lorenzo;	-1.16666666666666; 	-78.83333333; 
 Africa;Alexandria;	31.1333333333333; 	29.81666667; 
 Africa;Damietta;	31.4666666666666; 	31.75; 
 Africa;Port Said;	31.2666666666666; 	32.31666667; 
 North America;Acajutla;	13.5833333333333; 	-89.83333333; 
 Africa;Bata;	1.86666666666666; 	9.766666667; 
 ''is not a country in the system;ceiba;	1.41666666666666; 	9.233333333;
 Africa;Malabo;	3.76666666666666; 	8.783333333; 
 Europe;Prnu;	58.3833333333333; 	24.48333333;
 Europe;Tallinn;	59.45; 	24.76666667;
 Europe;Klaksvik;	62.2333333333333; 	-6.583333333;
 Europe;Torshavn;	62; 	-6.766666667;
 Australia;Labasa;	-16.4333333333333; 	179.2333333;
 Australia;Lautoka;	-17.6; 	177.4333333;
 Australia;Levuka;	-17.6833333333333; 	178.85;
 Australia;Savu Savu;	-16.8166666666666; 	179.3;
 Australia;Suva;	-18.1333333333333; 	178.4333333;
 Europe;Hamina;	60.5666666666666; 	27.18333333; 
 Europe;Helsinki;	60.1666666666666; 	24.95; 
 Europe;Kokkola;	63.8333333333333; 	23.13333333; 
 Europe;Kotka;	60.4666666666666; 	26.95; 
 Europe;Loviisa;	60.4; 	26.26666667; 
 Europe;Oulu;	65; 	25.41666667; 
 Europe;Pori;	61.6; 	21.48333333; 
 Europe;Rauma;	61.1333333333333; 	21.5; 
 Europe;Turku;	60.45; 	22.25; 
 Europe;Uusikaupunki;	60.8; 	21.4; 
 Europe;Vaasa;	60.1; 	21.6; 
 Europe;Bordeaux;	44.8333333333333; 	-0.566666667; 
 Europe;Boulogne Sur Mer;	50.75; 	1.566666667; 
 Europe;Cherbourg;	49.6333333333333; 	-1.633333333; 
 Europe;Dunkerque;	51.05; 	2.366666667; 
 Europe;La Pallice;	46.15; 	-1.166666667; 
 ''is not a country in the system;Le Havre;	49.5; 	-0.116666667;
 Europe;Marseille;	43.3166666666666; 	5.366666667; 
 Europe;Nantes;	47.2333333333333; 	-1.566666667; 
 Europe;Paris;	48.95; 	2.266666667; 
 Europe;Rouen;	49.4666666666666; 	1.066666667; 
 Europe;St Malo;	48.65; 	-2.016666667; 
 Europe;Strasbourg;	48.5666666666666; 	7.7; 
 Europe;Toulon;	43.1166666666666; 	5.916666667; 
 South America;Cayenne;	4.93333333333333; 	-52.33333333; 
 Australia;Papeete;	-17.55; 	-149.5666667;
 Africa;Cap Lopez;	-0.633333333333333; 	8.7; 
 Africa;Libreville;	0.283333333333333; 	9.5; 
 Africa;Owendo;	0.283333333333333; 	9.5; 
 Africa;Port Gentil;	-0.716666666666666; 	8.8; 
 'The Gambia'  is not a country in the system;Banjul;	13.45; 	-16.56666667; 
 Europe;Batumi;	41.65; 	41.63333333; 
 Europe;Poti;	42.15; 	41.66666667; 
 ''is not a country in the system;Sukhumi;	43.0166666666666; 	40.96666667;
 Europe;Brake;	53.3333333333333; 	8.483333333; 
 Europe;Bremen;	53.1166666666666; 	8.75; 
 Europe;Bremerhaven;	53.55; 	8.583333333; 
 Europe;Duisburg;	51.45; 	6.716666667; 
 Europe;Dusseldorf;	51.2166666666666; 	6.783333333; 
 Europe;Emden;	53.35; 	7.2; 
 Europe;Hamburg;	53.55; 	9.983333333; 
 Europe;Karlsruhe;	49.05; 	8.333333333; 
 Europe;Kiel;	54.3166666666666; 	10.16666667; 
 Europe;Lubeck;	53.8666666666666; 	10.68333333; 
 Europe;Mannheim;	49.5333333333333; 	8.5; 
 Europe;Rostock;	54.15; 	12.13333333; 
 Europe;Wilhelmshavn;	53.5333333333333; 	8.133333333; 
 Africa;Takoradi;	4.88333333333333; 	-1.75; 
 Africa;Tema;	5.63333333333333; 	0.016666667; 
 Europe;Gibraltar;	36.1333333333333; 	-5.35;
 Europe;Eleusis;	38.0333333333333; 	23.55; 
 Europe;Iraklion;	35.2666666666666; 	25.15; 
 Europe;Kavala;	40.9166666666666; 	24.41666667; 
 Europe;Patras;	38.25; 	21.75; 
 Europe;Piraeus;	37.95; 	23.63333333; 
 Europe;Thessaloniki;	40.6333333333333; 	22.93333333; 
 Europe;Volos;	39.3666666666666; 	22.95; 
 North America;Holsteinsborg;	66.9333333333333; 	-53.66666667; 
 North America;Nanortalik;	60.1333333333333; 	-45.23333333; 
 North America;Narsarsuaq;	61.15; 	-45.41666667; 
 North America;Nuuk;	64.1666666666666; 	-51.73333333; 
 North America;Gustavia;	17.9; 	-62.85;
 South America;Pointe-a-Pitre;	16.2333333333333; 	-61.53333333; 
 Australia;Apra;	13.45; 	144.6166667;
 North America;Champerico;	14.3; 	-91.91666667; 
 North America;Puerto Barrios;	15.7166666666666; 	-88.61666667; 
 North America;Santo Tomas De Castilla;	15.7; 	-88.61666667; 
 Africa;Conakry;	9.51666666666666; 	-13.71666667; 
 Africa;Port Kamsar;	10.65; 	-14.61666667; 
 Africa;Bissau;	11.85; 	-15.58333333; 
 South America;Georgetown;	6.81666666666666; 	-58.16666667; 
 South America;New Amsterdam;	6.23333333333333; 	-57.51666667; 
 North America;Port Au Prince;	18.55; 	-72.35; 
 North America;La Ceiba;	15.7666666666666; 	-86.83333333; 
 North America;Puerto Castilla;	16.0166666666666; 	-86.05; 
