Hidalga;	;	7.8;	12200;	20;	140;	SDBC;	
Genco Hunter;	2007;	12.8;	58479;	32.26;	190;	SDBC;	
Nin;	2000;	9.568;	28373;	27;	172;	SDBC;	BV
Oak Bay;	2013;	10.568;	55923;	32.26;	190;	SDBC;	NK
Kiwi Trader;	2000;	9.56;	31879;	29.4;	176.82;	SDBC;	NK
Marine Prince;	2012;	10.116;	35500;	30;	179.99;	SDBC;	NK
Hamra;	2001;	;	8874;	;	;	TWEEN;	
Skodsborg;	;	;	10144;	;	;	RORO;	
Nordana Mathilde;	2010;	;	12016;	;	;	TWEEN;	
Nordana Malee;	2009;	;	11940;	;	;	TWEEN;	
Fanja;	2000;	;	8874;	;	;	TWEEN;	
Nordana Madeleine;	2009;	;	12016;	;	;	TWEEN;	
Billesborg;	2011;	;	12580;	;	;	TWEEN;	
Celine C;	2011;	;	12914;	;	;	TWEEN;	
Nordana Emilie;	2005;	;	12782;	;	;	TWEEN;	
Fredensborg;	2011;	;	12580;	;	;	TWEEN;	
Nordana Emma;	2005;	;	12782;	;	;	TWEEN;	
Oslo Bulk 7;	;	;	8000;	;	;	SDBC;	
Oslo Bulk 11;	;	;	8000;	;	;	SDBC;	
Oslo Merchant;	;	;	16400;	;	;	SDBC;	
Tai Honesty;	2007;	12.487;	55418;	;	;	SDBC;	
K Ruby;	2011;	12.735;	55688;	;	;	SDBC;	
Tai Success;	2013;	13.01;	61486;	;	;	SDBC;	
Voc Rose;	1998;	11.777;	47183;	;	;	SDBC;	
Josco Runzhou;	2011;	12.65;	58567;	;	;	SDBC;	
Western Houston;	2012;	10;	31638;	27;	176.5;	SDBC;	
Bandura;	2010;	7.21;	8305;	16.13;	118.14;	MPP;	
Nordic Riga;	2010;	10.8;	35083;	28.4;	179.9;	SDBC;	ABS
Pythagoras;	2012;	12.715;	56085;	32.25;	189.99;	SDBC;	
Pacific Logger;	2000;	9.56;	31877;	29.4;	176.82;	SDBC;	NK
Thor Wave;	1998;	11.4;	39042;	29;	187.7;	OHBS;	
Shi Zi Shan;	2011;	12.818;	56621;	32.26;	189.99;	SDBC;	
Industrial Sabre;	2008;	;	12744;	;	;	MPP;	
Hr Revolution;	2005;	;	10536;	;	;	MPP;	
Hr Resolution;	2005;	;	10536;	;	;	MPP;	
Industrial Maya;	2013;	;	9765;	;	;	MPP;	
Industrial Brio;	2009;	;	9030;	;	;	MPP;	
Industrial Dream;	2007;	;	8000;	;	;	MPP;	
Industrial Krista;	2010;	;	7950;	;	;	MPP;	
Brielle;	2010;	;	7950;	;	;	MPP;	
